step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
36,CASH_OUT,449109.84,C630750768,61750.0,0.0,C1965194079,72855.78,521965.62,0
402,PAYMENT,8593.72,C960271657,0.0,0.0,M431752332,0.0,0.0,0
33,PAYMENT,9201.16,C1378359079,22962.0,13760.84,M352072570,0.0,0.0,0
18,PAYMENT,1225.3,C1707719646,0.0,0.0,M1913693032,0.0,0.0,0
235,PAYMENT,9820.29,C90105308,10836.0,1015.71,M1581304819,0.0,0.0,0
180,PAYMENT,26579.29,C1208646491,99585.0,73005.71,M659476503,0.0,0.0,0
378,PAYMENT,4108.52,C205120926,0.0,0.0,M800309866,0.0,0.0,0
133,PAYMENT,56025.27,C2092522735,24640.27,0.0,M1082948685,0.0,0.0,0
15,CASH_OUT,408517.43,C822204458,11563.0,0.0,C1040355043,1759706.33,2168223.76,0
237,TRANSFER,306349.3,C232518086,10552.0,0.0,C1047869868,0.0,306349.3,0
354,CASH_OUT,440434.56,C1516800671,132.0,0.0,C872687874,142061.97,582496.53,0
139,CASH_OUT,61691.8,C447030812,5504.0,0.0,C1336018344,1791738.77,1853430.57,0
377,PAYMENT,1378.26,C452634161,101849.0,100470.74,M1945728043,0.0,0.0,0
284,CASH_IN,84846.16,C1694357238,50229.0,135075.16,C911523555,44972.78,0.0,0
130,PAYMENT,28421.47,C336412110,313019.0,284597.52,M130620302,0.0,0.0,0
514,CASH_OUT,358311.66,C6287936,50370.0,0.0,C770818899,371409.54,729721.2,0
310,CASH_OUT,120212.4,C358536504,15626.0,0.0,C879979419,0.0,120212.4,0
11,PAYMENT,18251.2,C812911083,10254.0,0.0,M1627961263,0.0,0.0,0
281,CASH_IN,120938.46,C840281450,17505.0,138443.46,C1986446498,0.0,0.0,0
369,CASH_OUT,69723.66,C70071692,36343.0,0.0,C1212151219,7159820.24,7229543.9,0
210,CASH_IN,114715.7,C429915353,3248085.03,3362800.73,C434491429,860696.29,745980.59,0
407,PAYMENT,23077.57,C1684940533,20903.0,0.0,M1870675981,0.0,0.0,0
351,CASH_OUT,279153.51,C915370899,0.0,0.0,C760857818,643622.65,922776.16,0
259,CASH_IN,60609.99,C2089244493,2907876.74,2968486.73,C277506714,823473.0,762863.01,0
9,TRANSFER,650086.87,C787214671,0.0,0.0,C1320515149,5415258.58,5405558.3,0
255,CASH_OUT,175528.16,C2057591437,0.0,0.0,C1289744663,4111401.06,4286929.21,0
274,PAYMENT,2033.05,C966739237,79231.4,77198.35,M176618763,0.0,0.0,0
258,PAYMENT,3150.93,C583447989,11255.0,8104.07,M265747119,0.0,0.0,0
209,CASH_OUT,294324.07,C1441218266,85721.0,0.0,C1298776088,760702.21,1055026.28,0
684,PAYMENT,13017.31,C2004264947,201.0,0.0,M495231515,0.0,0.0,0
396,CASH_OUT,58012.43,C1792953841,543.0,0.0,C328515031,0.0,58012.43,0
228,CASH_OUT,13313.19,C1819001375,0.0,0.0,C1175021637,1327877.98,1341191.17,0
688,TRANSFER,975128.35,C2141689622,40043.0,0.0,C558284957,0.0,975128.35,0
255,PAYMENT,4340.58,C417463411,0.0,0.0,M289418680,0.0,0.0,0
229,PAYMENT,22816.69,C1027697171,60190.0,37373.31,M1693822169,0.0,0.0,0
275,CASH_OUT,174903.69,C311490205,0.0,0.0,C1273534155,933118.62,1108022.31,0
15,CASH_OUT,189314.27,C1404603099,31176.0,0.0,C401486812,0.0,189314.27,0
164,TRANSFER,781005.5,C846246710,120.0,0.0,C1209641062,2316556.73,3115848.88,0
17,CASH_IN,180731.94,C2061522602,15997.0,196728.94,C1126602797,748731.52,567999.58,0
186,CASH_OUT,176248.92,C1641552937,30861.0,0.0,C1814430506,0.0,176248.92,0
374,TRANSFER,142110.05,C1164353035,277738.71,135628.66,C7310218,4310616.89,4452726.94,0
598,PAYMENT,8560.37,C575729020,206232.0,197671.63,M2048090572,0.0,0.0,0
17,PAYMENT,10055.25,C472603497,8068.0,0.0,M1010377756,0.0,0.0,0
302,PAYMENT,10063.64,C1575123265,0.0,0.0,M1031309859,0.0,0.0,0
183,CASH_OUT,101514.8,C413050162,0.0,0.0,C514412771,3690740.19,3792254.99,0
299,CASH_OUT,18080.07,C660279431,20697.0,2616.93,C128463124,198747.9,216827.96,0
403,CASH_OUT,302242.44,C1165150302,111533.0,0.0,C800891387,0.0,302242.44,0
160,PAYMENT,3710.36,C1115308202,37277.0,33566.64,M833787712,0.0,0.0,0
139,PAYMENT,23299.06,C1077663387,10589.0,0.0,M1900797502,0.0,0.0,0
598,CASH_OUT,171758.24,C702557968,0.0,0.0,C738708531,589658.95,761417.2,0
211,PAYMENT,1484.12,C571754077,596.0,0.0,M556053733,0.0,0.0,0
355,PAYMENT,30121.19,C1095780627,0.0,0.0,M815418512,0.0,0.0,0
157,CASH_IN,52319.39,C2102182424,1451200.72,1503520.11,C1677310992,191972.5,139653.11,0
234,CASH_OUT,154427.59,C505963896,99159.0,0.0,C210923181,397092.36,551519.96,0
323,PAYMENT,26006.77,C1811655277,0.0,0.0,M1888368580,0.0,0.0,0
404,PAYMENT,13558.21,C648091633,213507.26,199949.05,M825565336,0.0,0.0,0
257,TRANSFER,620420.26,C2030870459,30604.58,0.0,C1403510116,1589023.64,2209443.9,0
256,CASH_OUT,151458.42,C904463786,0.0,0.0,C1921397355,1879447.08,2030905.5,0
380,CASH_IN,102260.53,C2113051187,13058.4,115318.93,C1506437588,1221320.64,1119060.11,0
235,CASH_IN,39099.85,C2121690898,6813933.26,6853033.11,C2024088449,8975455.25,8936355.4,0
370,DEBIT,8606.38,C767696745,11636.0,3029.62,C26037713,36000.98,44607.36,0
203,CASH_IN,2433.94,C742170047,7190732.59,7193166.53,C609149875,995063.89,992629.95,0
331,PAYMENT,22902.61,C1006757064,0.0,0.0,M1617046795,0.0,0.0,0
402,CASH_IN,85235.96,C184290289,2535454.21,2620690.17,C32845309,181694.95,96458.99,0
46,PAYMENT,4657.96,C205799685,331236.16,326578.2,M530497859,0.0,0.0,0
308,PAYMENT,21692.27,C901324426,48215.0,26522.73,M784740678,0.0,0.0,0
240,PAYMENT,10211.65,C145324590,272500.0,262288.35,M1905416046,0.0,0.0,0
43,CASH_OUT,473648.14,C1839611983,0.0,0.0,C594599017,12206534.89,12489164.95,0
280,TRANSFER,1001307.65,C237666250,0.0,0.0,C1733637905,1600369.59,2214095.43,0
192,PAYMENT,4154.93,C125486337,20331.0,16176.07,M208582621,0.0,0.0,0
253,CASH_IN,44162.11,C82244276,3398376.52,3442538.63,C1768370638,5770492.38,5726330.27,0
373,PAYMENT,6715.71,C1524490933,193338.96,186623.25,M1204123505,0.0,0.0,0
332,PAYMENT,18568.67,C472920871,0.0,0.0,M694747690,0.0,0.0,0
19,TRANSFER,254382.26,C43074841,0.0,0.0,C1106734744,1377673.07,1632055.33,0
402,CASH_IN,66765.46,C551028653,9728379.09,9795144.55,C2029457871,533716.83,466951.37,0
8,CASH_OUT,372571.39,C1067840570,0.0,0.0,C1354725727,4153328.96,4529886.44,0
130,CASH_OUT,591433.13,C505698389,294168.0,0.0,C1407697981,162771.03,754204.16,0
301,CASH_IN,443875.11,C816563233,54839.0,498714.11,C1214115405,37745.03,0.0,0
351,TRANSFER,486460.18,C772946412,1355.0,0.0,C1506991878,2390952.49,2877412.67,0
11,CASH_OUT,364761.93,C2074886961,20982.0,0.0,C1709410580,0.0,364761.93,0
401,CASH_OUT,112568.93,C1515787466,132948.0,20379.07,C1531974265,182213.01,294781.94,0
353,CASH_IN,96011.84,C422322676,92990.88,189002.72,C122383159,900440.31,804428.47,0
140,CASH_OUT,138744.58,C954476694,13217.0,0.0,C1327446090,0.0,138744.58,0
305,TRANSFER,10000000.0,C1369639334,10214.0,0.0,C769345268,0.0,19126665.32,0
548,CASH_OUT,90094.2,C128613051,416.0,0.0,C1818081764,131933.46,222027.66,0
302,PAYMENT,113097.86,C904292196,0.0,0.0,M1393047524,0.0,0.0,0
522,CASH_OUT,96102.84,C190089529,16803.0,0.0,C1209524407,3697534.0,3793636.84,0
228,PAYMENT,55732.86,C1824349912,46348.0,0.0,M641863984,0.0,0.0,0
162,CASH_OUT,341756.32,C858580771,11187.0,0.0,C2082117656,0.0,341756.32,0
144,PAYMENT,22780.69,C813995243,10397.0,0.0,M2035986142,0.0,0.0,0
134,CASH_OUT,222846.8,C1372059860,249278.0,26431.2,C2040114735,0.0,222846.8,0
304,CASH_IN,293064.97,C922245617,1306061.11,1599126.08,C2135135492,394248.78,101183.82,0
141,CASH_OUT,278566.09,C448442551,231564.88,0.0,C1183170457,1967603.91,2246170.01,0
16,PAYMENT,3265.19,C1794635139,50388.96,47123.77,M1118508034,0.0,0.0,0
186,CASH_OUT,178318.86,C1400539813,0.0,0.0,C425298744,5280108.24,5619262.04,0
565,CASH_OUT,275029.49,C832577779,43670.0,0.0,C676190561,0.0,275029.49,0
